,pod,pod_lat,pod_lon,station_code,"station_lat,",station_lon,distance
2422,IT013E00048274,44.8016666667,10.3288888889,4988,44.8016666667,10.3288888889,0.0
2423,IT020E13017447,44.8016666667,10.3288888889,4988,44.8016666667,10.3288888889,0.0
2424,IT013E00462767,44.8016666667,10.3288888889,4988,44.8016666667,10.3288888889,0.0
2425,2170375,44.8016666667,10.3288888889,4988,44.8016666667,10.3288888889,0.0
2426,IT001E00088916,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2427,IT001E00214504,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2428,IT001E04094240,45.467959931,9.181780081,4074,45.4658333333,9.19,0.6834342499881351
2429,IT001E00232154,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2430,IT001E16237861,45.467959931,9.181780081,4074,45.4658333333,9.19,0.6834342499881351
2431,IT001E00088978,45.467959931,9.181780081,4074,45.4658333333,9.19,0.6834342499881351
2432,IT001E00234698,45.467959931,9.181780081,4074,45.4658333333,9.19,0.6834342499881351
2433,IT001E17618901,45.467959931,9.181780081,4074,45.4658333333,9.19,0.6834342499881351
2434,IT001E00088979,45.467959931,9.181780081,4074,45.4658333333,9.19,0.6834342499881351
2435,IT001E04094241,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2436,IT001E00211880,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2437,IT001E17779747,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2438,IT001E00088983,45.467959931,9.181780081,4074,45.4658333333,9.19,0.6834342499881351
2439,IT001E18296289,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2440,IT001E04783280,45.467959931,9.181780081,4074,45.4658333333,9.19,0.6834342499881351
2441,IT001E17860645,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2442,IT001E15416082,45.491388888900005,9.29472222222,6768,45.491388888900005,9.29472222222,0.0
2443,IT001E00091447,45.59888888890001,9.156944444439999,7680,45.59888888890001,9.156944444439999,0.0
2444,IT001E33935128,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2445,IT001E00116151,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
2446,IT001E31484591,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2447,IT001E00062418,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2448,IT001E04093747,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
2449,IT001E00062262,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2450,IT001E04073675,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2451,IT001E34239075,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2452,IT001E04062834,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2453,IT001E00062291,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
2454,IT001E04062545,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2455,IT001E04514276,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
2456,IT001E34110184,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2457,IT001E04093751,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
2458,IT001E00062249,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2459,IT001E04062457,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2460,IT001E00059644,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2461,IT001E00062424,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2462,IT001E04062461,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2463,IT001E04011731,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
2464,IT001E00062461,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2465,IT001E04170589,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2466,IT001E34224133,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2467,IT001E00061401,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2468,IT001E00061946,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2469,IT001E00062373,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
2470,IT001E34239073,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2471,IT001E34236987,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2472,IT001E00116143,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2473,IT001E04181551,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2474,IT001E04011715,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2475,IT001E04062616,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2476,IT001E00062339,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2477,IT001E04011875,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2478,IT001E00116126,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2479,IT001E34613072,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2480,IT001E00062555,45.715579883000004,12.275630055999999,7980,45.7133333333,12.26,1.2393136366779791
2481,IT001E00063086,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2482,IT001E00219017,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
2483,IT001E00062261,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2484,IT001E33935127,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2485,IT001E00062508,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2486,IT001E00062509,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2487,IT001E04588586,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2488,IT001E04185131,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2489,IT001E04090422,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2490,IT001E00062239,45.666349968999995,12.24190003,7451,45.6663888889,12.2452777778,0.2625840632291996
2491,IT001E33938174,45.6663888889,12.2452777778,7451,45.6663888889,12.2452777778,0.0
